model,setting,principle,mean,std,count,model_setting
base_dpo,0.5,Authentic Voice Alignment,2.87,,1,base_dpo | 0.5
tuned_sft,greedy,Direct and Thoughtful Response,3.72,,1,tuned_sft | greedy
tuned_sft,greedy,Explain Causes and Risks,2.88,,1,tuned_sft | greedy
tuned_sft,greedy,Full Coverage,2.87,,1,tuned_sft | greedy
tuned_sft,greedy,Logical Clarity,3.46,,1,tuned_sft | greedy
tuned_sft,greedy,Precision and Accuracy,2.28,,1,tuned_sft | greedy
tuned_sft,greedy,Proactive Usefulness,2.82,,1,tuned_sft | greedy
tuned_sft,greedy,Reasoned Engagement,3.57,,1,tuned_sft | greedy
tuned_sft,greedy,Structured Guidance,2.59,,1,tuned_sft | greedy
tuned_sft_temp,1,Authentic Voice Alignment,2.62,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Comprehensive Helpfulness,2.43,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Concise Completeness,2.44,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Contextual Consistency,3.28,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Direct and Thoughtful Response,3.05,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Explain Causes and Risks,2.61,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Full Coverage,2.37,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Logical Clarity,2.9,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Precision and Accuracy,1.94,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Proactive Usefulness,2.42,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Reasoned Engagement,3.07,,1,tuned_sft_temp | 1
tuned_sft_temp,1,Structured Guidance,2.18,,1,tuned_sft_temp | 1
